respondent_id,response_text,human_code_label,human_code,notes,llm_code_label,confidence,llm_code,gender,gender_label,race,race_label,marital_status,marital_status_label,income,income_label,education,education_label,occupation_status,occupation_status_label,age,party_id,party_id_label
140053,not sure but there is a lot,,,,Unclear,Low,10,1,man,6,multiple races,5,never married,1,"under $9,999",2,high school,4,unemployed,66,3,independent democrat
140054,No border control,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,-9,refused,3,some college,7,homemaker,-2,5,independent republican
140055,"the gap between very wealthy and the poor is growing, losing sight of the middle class rapidly declining ",,,,Economy,High,1,2,woman,1,"white, non-hispanic",3,divorced,3,"$30,000-$59,999",5,graduate degree,1,working now,69,1,strong democrat
140056,competent leadership,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",5,never married,5,"$100,000-$249,999",5,graduate degree,1,working now,50,3,independent democrat
140057,illegal miragrasion,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,1,"under $9,999",2,high school,1,working now,52,5,independent republican
140058,"economy is bad, prices way to high for almost every essentials for families",Economy,1,,Economy,High,1,1,man,1,"white, non-hispanic",1,married,4,"$60,000-$99,999",2,high school,1,working now,59,5,independent republican
140060,division and extremists ,,,,Social Issues,High,4,2,woman,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",5,graduate degree,1,working now,42,2,not very strong democrat
140061,the Palestinian issue,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",5,graduate degree,5,retired,-2,1,strong democrat
140062,"Women's rights, bug business",,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,3,"$30,000-$59,999",5,graduate degree,1,working now,41,1,strong democrat
140063,Immigration & Economy ,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,6,"$250,000 or more",4,bachelor's degree,1,working now,42,3,independent democrat
140065,a convicted felon as president and the disregard for justice truth and integrity.,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",3,divorced,4,"$60,000-$99,999",3,some college,1,working now,50,2,not very strong democrat
140066,"Global warming, the loss of our checks and balances.",,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",5,graduate degree,5,retired,80,1,strong democrat
140067,Climate change ,,,,Environment,High,7,2,woman,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",5,graduate degree,1,working now,43,1,strong democrat
140070,conflict among parties,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",2,widowed,4,"$60,000-$99,999",3,some college,5,retired,65,2,not very strong democrat
140072,,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",3,divorced,3,"$30,000-$59,999",2,high school,5,retired,64,1,strong democrat
140073,World War 3 happening. ,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,1,"under $9,999",3,some college,1,working now,43,7,strong repbulican
140074,Housing healthcare,,,,Unclear,Low,10,1,man,2,"black, non-hispanic",5,never married,5,"$100,000-$249,999",4,bachelor's degree,1,working now,25,4,independent
140076,tRUMP  HE WANTS TO BE King.He lies all the time. Likes dictators likje Putin ,,,,Politics/Democracy,High,3,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",5,graduate degree,5,retired,80,1,strong democrat
140077,The economy is weak.,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,3,"$30,000-$59,999",3,some college,1,working now,74,5,independent republican
140078,cost of living tooo high,,,,Unclear,Low,10,2,woman,3,hispanic,2,widowed,6,"$250,000 or more",2,high school,1,working now,74,1,strong democrat
140079,the inability of the congress to work together ,Politics/Democracy,3,,Politics/Democracy,High,3,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",4,bachelor's degree,5,retired,76,3,independent democrat
140080,closing border ,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,4,"$60,000-$99,999",3,some college,5,retired,-2,7,strong repbulican
140081,global warming ,,,,Environment,High,7,2,woman,1,"white, non-hispanic",3,divorced,4,"$60,000-$99,999",4,bachelor's degree,1,working now,47,2,not very strong democrat
140082,Seniors Education Employment Housing ,,,,Other,High,9,2,woman,2,"black, non-hispanic",5,never married,2,"$10,000-$29,999",3,some college,7,homemaker,49,2,not very strong democrat
140083,10-14 yr old young females committing suicide at alarming rates,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",4,bachelor's degree,1,working now,48,3,independent democrat
140084,"inflation, housing cost and medical insurance ",,,,Economy,High,1,2,woman,3,hispanic,5,never married,4,"$60,000-$99,999",3,some college,1,working now,54,1,strong democrat
140085,"gun control, global warming",,,,Crime,High,5,2,woman,1,"white, non-hispanic",3,divorced,4,"$60,000-$99,999",5,graduate degree,1,working now,40,3,independent democrat
140086,"Inflation, Wage gap, Movement to the far right, authoritarianism ",Economy,1,multiple problems,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",4,bachelor's degree,1,working now,37,3,independent democrat
140087,i don't voice my opinion on politics or the state of the country.  it is what it is.,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,4,"$60,000-$99,999",2,high school,1,working now,59,7,strong repbulican
140088,Tarriffs on imports/exports,Economy,1,,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,6,"$250,000 or more",4,bachelor's degree,1,working now,32,6,not very strong republican
140089,"The economy and inflation and the separation of wealthy from those in poverty. The rich are getting richer and the poor are getting poorer.""""",,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",5,never married,6,"$250,000 or more",5,graduate degree,1,working now,38,6,not very strong republican
140090,"rising costs, unlivable wages",,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",5,graduate degree,1,working now,28,6,not very strong republican
140092,"trump, supreme court",,,,Unclear,Low,10,1,man,1,"white, non-hispanic",2,widowed,3,"$30,000-$59,999",2,high school,1,working now,79,2,not very strong democrat
140093,"wide open border(no sovereignty), corruption, money wasted on climate change, DEI garbage unqualified appointments, woke brainwashed universities(U of M), Muslim terrorists on campus burning US flags, the national debt.",,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,3,"$30,000-$59,999",4,bachelor's degree,5,retired,65,5,independent republican
140094,economy. prices have soared and families are hurting.,,,,Economy,High,1,2,woman,1,"white, non-hispanic",2,widowed,3,"$30,000-$59,999",5,graduate degree,5,retired,80,7,strong repbulican
140095,"Division based on beliefs in propaganda,lies, alternative truths.",,,,Social Issues,High,4,1,man,1,"white, non-hispanic",1,married,4,"$60,000-$99,999",3,some college,1,working now,62,3,independent democrat
140096,Trump in office,,,,Unclear,Low,10,2,woman,3,hispanic,5,never married,5,"$100,000-$249,999",3,some college,1,working now,54,2,not very strong democrat
140097,Losing our democracy,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",2,widowed,3,"$30,000-$59,999",4,bachelor's degree,5,retired,80,1,strong democrat
140098,politics are an issue only during elections ,,,,Politics/Democracy,High,3,2,woman,1,"white, non-hispanic",2,widowed,3,"$30,000-$59,999",3,some college,5,retired,80,3,independent democrat
140101,Trump was elected president,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",3,divorced,5,"$100,000-$249,999",5,graduate degree,1,working now,49,1,strong democrat
140102,"borders, being too woke, lack of religion ",,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",3,some college,1,working now,41,7,strong repbulican
140103,"economy, foreign policy",,,,Economy,High,1,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",3,some college,1,working now,40,6,not very strong republican
140105,cost of living and are safety and are rights,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",5,never married,-9,refused,2,high school,5,retired,-2,7,strong repbulican
140108,INEQUALITY AND THE VANISHING OF MIDDLE CLASS,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,4,"$60,000-$99,999",3,some college,1,working now,64,2,not very strong democrat
140110,over spent without control,,,,Unclear,Low,10,1,man,4,asian,1,married,5,"$100,000-$249,999",5,graduate degree,5,retired,80,7,strong repbulican
140112,"Boarder,  we need to stop all the people from coming in.",,,,Unclear,Low,10,1,man,1,"white, non-hispanic",3,divorced,3,"$30,000-$59,999",3,some college,5,retired,76,7,strong repbulican
140113,SK,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",5,never married,4,"$60,000-$99,999",5,graduate degree,1,working now,61,6,not very strong republican
140114,immigration and economy ,,,,Unclear,Low,10,2,woman,3,hispanic,1,married,5,"$100,000-$249,999",5,graduate degree,1,working now,40,7,strong repbulican
140115,Health Insurance ,,,,Healthcare,High,2,2,woman,2,"black, non-hispanic",1,married,4,"$60,000-$99,999",3,some college,1,working now,65,1,strong democrat
140116,Illegal immigration,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",5,graduate degree,1,working now,62,7,strong repbulican
140117,"The Disdain, murders, and constant hate for the LGBTQ+ Community.",,,,Social Issues,High,4,3,nonbinary,2,"black, non-hispanic",5,never married,2,"$10,000-$29,999",3,some college,1,working now,34,3,independent democrat
140119,"Border Secuity and its impact on crime, government spending, and restriction of resources to U. S. citizens.",,,,Immigration,High,6,1,man,1,"white, non-hispanic",1,married,-9,refused,5,graduate degree,5,retired,-2,7,strong repbulican
140120,social Security ,,,,Unclear,Low,10,1,man,3,hispanic,1,married,3,"$30,000-$59,999",3,some college,5,retired,76,1,strong democrat
140122,most the homeless they need more help . so many living on streets an these gas prices up an down good prices an take out is up too,,,,Social Issues,High,4,2,woman,2,"black, non-hispanic",1,married,1,"under $9,999",2,high school,1,working now,56,4,independent
140123,ECONOMIC DEPRESSION,,,,Economy,High,1,2,woman,1,"white, non-hispanic",3,divorced,3,"$30,000-$59,999",2,high school,1,working now,44,3,independent democrat
140124,"Cost of living, immigration, abortion",,,,Economy,High,1,2,woman,1,"white, non-hispanic",5,never married,3,"$30,000-$59,999",4,bachelor's degree,1,working now,27,1,strong democrat
140125,US Border and Economy,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",2,high school,1,working now,58,7,strong repbulican
140126,"Donald Trump as he is a dangerous narcissist and is going to cause a lot of suffering (deportation plans, no concern for the environment nor those in need, nor women's rights.",,,,Politics/Democracy,High,3,2,woman,1,"white, non-hispanic",2,widowed,4,"$60,000-$99,999",5,graduate degree,5,retired,74,1,strong democrat
140127,"immigration, injustice, abortion ",,,,Immigration,High,6,2,woman,3,hispanic,2,widowed,3,"$30,000-$59,999",3,some college,1,working now,27,1,strong democrat
140128,Threat to democracy,,,,Unclear,Low,10,1,man,2,"black, non-hispanic",1,married,5,"$100,000-$249,999",5,graduate degree,5,retired,70,3,independent democrat
140129,Economy and foreign wars,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",5,never married,3,"$30,000-$59,999",3,some college,1,working now,31,7,strong repbulican
140131,Government Spending/Structural Defecit,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",4,bachelor's degree,5,retired,66,7,strong repbulican
140132,"Inequality, monetary division of society. rich versus poor. ",,,,Economy,High,1,1,man,1,"white, non-hispanic",1,married,6,"$250,000 or more",5,graduate degree,1,working now,41,3,independent democrat
140134,"federal debt, unaffordable healthcare costs, fanatic nationalism ",,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",4,bachelor's degree,1,working now,56,6,not very strong republican
140135,illegals- taking over housing and using false information to get things,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",2,widowed,5,"$100,000-$249,999",5,graduate degree,5,retired,80,7,strong repbulican
140136,"Legal and illegal drugs are the cause of a great many of our social problems, yet politicians are afraid to do anything about it. ",,,,Crime,High,5,1,man,1,"white, non-hispanic",3,divorced,2,"$10,000-$29,999",3,some college,5,retired,77,5,independent republican
140139,Inflation and violence ,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,4,"$60,000-$99,999",3,some college,1,working now,68,1,strong democrat
140140,"economy,cost of living,taxes,our government ",,,,Economy,High,1,2,woman,1,"white, non-hispanic",1,married,4,"$60,000-$99,999",3,some college,1,working now,59,5,independent republican
140141,Greed and Corruption at the expense of every day people,,,,Politics/Democracy,High,3,2,woman,2,"black, non-hispanic",3,divorced,4,"$60,000-$99,999",5,graduate degree,1,working now,33,3,independent democrat
140142,"Mental illness is highly on the rise, homelessness, immigration, democracy, and the economy.",,,,Social Issues,High,4,2,woman,2,"black, non-hispanic",5,never married,2,"$10,000-$29,999",3,some college,1,working now,38,1,strong democrat
140143,government overspending & regulatory capture,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",3,divorced,5,"$100,000-$249,999",5,graduate degree,1,working now,49,-9,refused
140144,"Misinformation/disinformation is allowing a radical conservative movement to control the government and increase inequality, attempt to create a Christian country where women are subjugated to the desires of men, and democracy is gutted. ",,,,Politics/Democracy,High,3,1,man,1,"white, non-hispanic",1,married,6,"$250,000 or more",5,graduate degree,1,working now,44,1,strong democrat
140145,We are too divide in this country right now.,Social Issues,4,division,Social Issues,High,4,1,man,3,hispanic,1,married,5,"$100,000-$249,999",3,some college,1,working now,53,2,not very strong democrat
140146,threat to democracy,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",5,graduate degree,1,working now,44,1,strong democrat
140147,"controlling the borders, establishing immigration system",,,,Immigration,High,6,2,woman,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",3,some college,5,retired,80,7,strong repbulican
140149,The deficit continues to grow with no concrete plans to get it under control,,,,Economy,High,1,1,man,1,"white, non-hispanic",1,married,3,"$30,000-$59,999",4,bachelor's degree,5,retired,71,5,independent republican
140150,cost of living,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,3,"$30,000-$59,999",4,bachelor's degree,1,working now,59,5,independent republican
140151,there are several. But the biggest is immigration.,,,,Immigration,High,6,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",3,some college,1,working now,69,6,not very strong republican
140152,Woman's right to choose,,,,Healthcare,High,2,2,woman,1,"white, non-hispanic",3,divorced,3,"$30,000-$59,999",5,graduate degree,5,retired,73,1,strong democrat
140155,the most important problem facing this country is inflation and taxes.,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",2,high school,1,working now,66,7,strong repbulican
140156,"inflation and economy, wasteful spending",Economy,1,,Economy,High,1,1,man,1,"white, non-hispanic",1,married,-9,refused,5,graduate degree,1,working now,54,6,not very strong republican
140157,abortion laws they should let women make there own choices,,,,Healthcare,High,2,2,woman,2,"black, non-hispanic",5,never married,1,"under $9,999",2,high school,6,permanently disabled,50,4,independent
140158,"Cost of living, cost of groceries, ability to access medical care, ability to buy a home, cost of gas,lack of adequate public transportation, poor salary increases.",,,,Unclear,Low,10,2,woman,2,"black, non-hispanic",1,married,5,"$100,000-$249,999",3,some college,5,retired,71,1,strong democrat
140159,Wealth Inequality,,,,Economy,High,1,1,man,1,"white, non-hispanic",5,never married,3,"$30,000-$59,999",4,bachelor's degree,1,working now,34,2,not very strong democrat
140160,"Inflation, crime, immigration, ",,,,Economy,High,1,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",2,high school,5,retired,80,7,strong repbulican
140161,donald trump very untrustworthy,,,,Politics/Democracy,High,3,2,woman,1,"white, non-hispanic",2,widowed,1,"under $9,999",3,some college,6,permanently disabled,62,1,strong democrat
140162,"economy, division among its people ",,,,Economy,High,1,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",3,some college,1,working now,33,5,independent republican
140163,"Trump, Him being in charge of U.S.A.",,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,3,"$30,000-$59,999",3,some college,5,retired,75,2,not very strong democrat
140166,SK,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",5,graduate degree,1,working now,32,2,not very strong democrat
140167,"Debt, and diversity ",,,,Unclear,Low,10,2,woman,3,hispanic,1,married,3,"$30,000-$59,999",4,bachelor's degree,1,working now,26,1,strong democrat
140168,possible loss of Democracy under Trump administration due to lies people believe,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",3,divorced,5,"$100,000-$249,999",5,graduate degree,5,retired,76,1,strong democrat
140169,"Debt, demigods, lack of faith",,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",4,bachelor's degree,1,working now,67,5,independent republican
140171,border inflation gas prices,Economy,1,multiple problems,Economy,High,1,1,man,1,"white, non-hispanic",3,divorced,2,"$10,000-$29,999",2,high school,5,retired,64,7,strong repbulican
140173,DEI bias in all business and legislation,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",5,never married,4,"$60,000-$99,999",5,graduate degree,1,working now,73,7,strong repbulican
140175,illegal immigration,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",2,widowed,3,"$30,000-$59,999",3,some college,1,working now,80,5,independent republican
140176,"Racism, prejudice, and unfair treatment of black people.",,,,Unclear,Low,10,2,woman,2,"black, non-hispanic",5,never married,4,"$60,000-$99,999",4,bachelor's degree,1,working now,52,1,strong democrat
140177,Inflation and the rising prices ,,,,Economy,High,1,2,woman,2,"black, non-hispanic",2,widowed,2,"$10,000-$29,999",3,some college,6,permanently disabled,51,1,strong democrat
140178,"Economy, employment",,,,Economy,High,1,2,woman,3,hispanic,3,divorced,4,"$60,000-$99,999",2,high school,1,working now,75,1,strong democrat
140180,The cost of living.,,,,Economy,High,1,2,woman,1,"white, non-hispanic",2,widowed,4,"$60,000-$99,999",5,graduate degree,5,retired,80,1,strong democrat
140181,economy,,,,Economy,High,1,2,woman,2,"black, non-hispanic",2,widowed,5,"$100,000-$249,999",5,graduate degree,5,retired,80,1,strong democrat
140183,the cost of living and wages.  poor people can barely make it,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",5,never married,4,"$60,000-$99,999",2,high school,1,working now,35,5,independent republican
140185,Las armas y la economia,,,,Unclear,Low,10,2,woman,3,hispanic,3,divorced,2,"$10,000-$29,999",5,graduate degree,1,working now,73,1,strong democrat
140187,Being divided. ,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",5,never married,3,"$30,000-$59,999",3,some college,1,working now,27,7,strong repbulican
140188,Incompetent president appointments,,,,Politics/Democracy,High,3,1,man,1,"white, non-hispanic",1,married,4,"$60,000-$99,999",5,graduate degree,1,working now,65,1,strong democrat
140189,inequality   growing income divide is stirring resentment and imbalances of power ,,,,Economy,High,1,3,nonbinary,1,"white, non-hispanic",1,married,6,"$250,000 or more",5,graduate degree,1,working now,61,1,strong democrat
140190,Illegal immigrants and border safety. The price of groceries due to inflation. The use of censorship on social media. America's weakened position on the world stage. ,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",5,graduate degree,1,working now,37,7,strong repbulican
140191,The national debt,,,,Economy,High,1,2,woman,1,"white, non-hispanic",1,married,1,"under $9,999",4,bachelor's degree,1,working now,79,4,independent
140192,CLIMATE CONTROL,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",3,divorced,3,"$30,000-$59,999",5,graduate degree,1,working now,75,1,strong democrat
140193,High inflation and rising,,,,Economy,High,1,1,man,1,"white, non-hispanic",3,divorced,5,"$100,000-$249,999",4,bachelor's degree,1,working now,54,7,strong repbulican
140194,border not secure this would solve a lot of problems ,,,,Immigration,High,6,2,woman,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",2,high school,5,retired,75,5,independent republican
140196,inflation. the cost of everything is very high to live. ,,,,Economy,High,1,1,man,3,hispanic,1,married,4,"$60,000-$99,999",2,high school,1,working now,26,6,not very strong republican
140197,"Government spending, gender ideology, immigration process",,,,Unclear,Low,10,1,man,3,hispanic,5,never married,5,"$100,000-$249,999",3,some college,1,working now,28,6,not very strong republican
140199,"Environment issues, Jerrymandering, immigration reform, poor budget oversight",,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,1,"under $9,999",4,bachelor's degree,1,working now,53,3,independent democrat
