respondent_id,response_text
140053,not sure but there is a lot
140054,No border control
140055,"the gap between very wealthy and the poor is growing, losing sight of the middle class rapidly declining "
140056,competent leadership
140057,illegal miragrasion
140058,"economy is bad, prices way to high for almost every essentials for families"
140060,division and extremists 
140061,the Palestinian issue
140062,"Women's rights, bug business"
140063,Immigration & Economy 
140065,a convicted felon as president and the disregard for justice truth and integrity.
140066,"Global warming, the loss of our checks and balances."
140067,Climate change 
140070,conflict among parties
140072,
140073,World War 3 happening. 
140074,Housing healthcare
140076,tRUMP  HE WANTS TO BE King.He lies all the time. Likes dictators likje Putin 
140077,The economy is weak.
140078,cost of living tooo high
140079,the inability of the congress to work together 
140080,closing border 
140081,global warming 
140082,Seniors Education Employment Housing 
140083,10-14 yr old young females committing suicide at alarming rates
140084,"inflation, housing cost and medical insurance "
140085,"gun control, global warming"
140086,"Inflation, Wage gap, Movement to the far right, authoritarianism "
140087,i don't voice my opinion on politics or the state of the country.  it is what it is.
140088,Tarriffs on imports/exports
140089,"The economy and inflation and the separation of wealthy from those in poverty. The rich are getting richer and the poor are getting poorer."""""
140090,"rising costs, unlivable wages"
140092,"trump, supreme court"
140093,"wide open border(no sovereignty), corruption, money wasted on climate change, DEI garbage unqualified appointments, woke brainwashed universities(U of M), Muslim terrorists on campus burning US flags, the national debt."
140094,economy. prices have soared and families are hurting.
140095,"Division based on beliefs in propaganda,lies, alternative truths."
140096,Trump in office
140097,Losing our democracy
140098,politics are an issue only during elections 
140101,Trump was elected president
140102,"borders, being too woke, lack of religion "
140103,"economy, foreign policy"
140105,cost of living and are safety and are rights
140108,INEQUALITY AND THE VANISHING OF MIDDLE CLASS
140110,over spent without control
140112,"Boarder,  we need to stop all the people from coming in."
140113,SK
140114,immigration and economy 
140115,Health Insurance 
140116,Illegal immigration
140117,"The Disdain, murders, and constant hate for the LGBTQ+ Community."
140119,"Border Secuity and its impact on crime, government spending, and restriction of resources to U. S. citizens."
140120,social Security 
140122,most the homeless they need more help . so many living on streets an these gas prices up an down good prices an take out is up too
140123,ECONOMIC DEPRESSION
140124,"Cost of living, immigration, abortion"
140125,US Border and Economy
140126,"Donald Trump as he is a dangerous narcissist and is going to cause a lot of suffering (deportation plans, no concern for the environment nor those in need, nor women's rights."
140127,"immigration, injustice, abortion "
140128,Threat to democracy
140129,Economy and foreign wars
140131,Government Spending/Structural Defecit
140132,"Inequality, monetary division of society. rich versus poor. "
140134,"federal debt, unaffordable healthcare costs, fanatic nationalism "
140135,illegals- taking over housing and using false information to get things
140136,"Legal and illegal drugs are the cause of a great many of our social problems, yet politicians are afraid to do anything about it. "
140139,Inflation and violence 
140140,"economy,cost of living,taxes,our government "
140141,Greed and Corruption at the expense of every day people
140142,"Mental illness is highly on the rise, homelessness, immigration, democracy, and the economy."
140143,government overspending & regulatory capture
140144,"Misinformation/disinformation is allowing a radical conservative movement to control the government and increase inequality, attempt to create a Christian country where women are subjugated to the desires of men, and democracy is gutted. "
140145,We are too divide in this country right now.
140146,threat to democracy
140147,"controlling the borders, establishing immigration system"
140149,The deficit continues to grow with no concrete plans to get it under control
140150,cost of living
140151,there are several. But the biggest is immigration.
140152,Woman's right to choose
140155,the most important problem facing this country is inflation and taxes.
140156,"inflation and economy, wasteful spending"
140157,abortion laws they should let women make there own choices
140158,"Cost of living, cost of groceries, ability to access medical care, ability to buy a home, cost of gas,lack of adequate public transportation, poor salary increases."
140159,Wealth Inequality
140160,"Inflation, crime, immigration, "
140161,donald trump very untrustworthy
140162,"economy, division among its people "
140163,"Trump, Him being in charge of U.S.A."
140166,SK
140167,"Debt, and diversity "
140168,possible loss of Democracy under Trump administration due to lies people believe
140169,"Debt, demigods, lack of faith"
140171,border inflation gas prices
140173,DEI bias in all business and legislation
140175,illegal immigration
140176,"Racism, prejudice, and unfair treatment of black people."
140177,Inflation and the rising prices 
140178,"Economy, employment"
140180,The cost of living.
140181,economy
140183,the cost of living and wages.  poor people can barely make it
140185,Las armas y la economia
140187,Being divided. 
140188,Incompetent president appointments
140189,inequality   growing income divide is stirring resentment and imbalances of power 
140190,Illegal immigrants and border safety. The price of groceries due to inflation. The use of censorship on social media. America's weakened position on the world stage. 
140191,The national debt
140192,CLIMATE CONTROL
140193,High inflation and rising
140194,border not secure this would solve a lot of problems 
140196,inflation. the cost of everything is very high to live. 
140197,"Government spending, gender ideology, immigration process"
140199,"Environment issues, Jerrymandering, immigration reform, poor budget oversight"
140202,Need to control  and patrol the border!
140203,Immigration has been a significant issue for many years and our government has done very little to address the issues
140204,trump is the biggest problem
140205,"The immigration crisis is number one, doing business with our enemies is #2, ending schemes to enrich government friends/families is 3.  Green new scam, military industrial complex etc. "
140206,"war,immigration,clean drinking water "
140207,joe bidon just dont think he has done much
140208,Immigration and economic
140209,government reform 
140210,Two party system and greed. 
140212,Another Trump presidency wanting to be a Dictator.
140213,Cost of living is extremely high and I feel like most people can not survive in this society. 
140214,wealth gap. unaffordable health care and medicine. anything conservative 
140215,/a
140216,economy everything cost too much the cost of living is more than a person can pay making minimum wage a single person cannot survive living alone making $11.50 a hour
140217,"health care, education and economy"
140218,the support of Israel committing Genocide  
140219,cost of livingâ€” too expensive 
140220,replacing the miltary industrial  complex with real jobs that benefit  the world. Reducing  our use of oil and coal.
140221,illegals crossing our borders and the economy
140222,"economy, boarder control, "
140223,trump being our president is a huge problem he's a risk for us to go to war  he's a celebrity not anyone to be proud of or anyone you can trust 
140224,Economy - High prices of goods and services 
140225,40% tax and how everyone is broke
140226,Inflation and border security
140227,"social isolation, media literacy, social media affecting what we believe and how we interact with with each other, lack of empathy and open-mindedness to new ideas or people "
140228,The economy!! and bring back jobs to the US!
140229,"economy, the price of items like food and shelter. wages that are higher enough to afford things "
140230,I'm not liking Donald Trump anymore but I don't want Kampala Harris in office either because of the economy like everyone else I'm hoping the economy improves. I care about poland but thing's have to change. 
140231,Corporate greed - A focus on profit and not consumers. Energy conservation. Wildlife conservation.
140232,"Global warming/environment (regulations rolled back), richest people in power, tax system- lack of corporate taxing, broken education system, national debt, war potential"
140233,"Economy as well as Immigration.  Citizens are struggling while Illegals are receiving free housing, free health as well as other perks."
140234,poverty so many poor people yet we give away so many to undeserved aliens 
140235,Illegal aliens. Inflation. 
140236,The hatred and violence that Trump encourages. Climate change.  Civil rights.  Women's rights. 
140237,fake new. tv and papers do not always print correct truths
140238,Taxes and how they're spent.
140239,"Now that donald trump isn't going to be in office, I think it's going to go downhill"
140241,spending and inflation 
140242,illegal immigration
140243,National Security
140245,"Loosing are democracy. Republican fascists, Trump, very cruapt supreme court, ect"
140249,foreign policy including the border
140250,"homelessness, not enough jobs in certain professions "
140251,violence  
140252,wars
140253,progressive agenda 
140254,"climate change, low spending on healthcare, education and environment "
140255,"Economy, illegal immigrants and way to many government subsidies for poor people.  The government should be a hand up, not a hand out! "
140258,affordable housing 
140259,"debt, cost of living is way too high for many, government needs to set term/ age limits, quit giving them all so much after they retire, get a handle on our debt, close the border, depend more on manufacturing goods instead of importing them, help our country, veterans, mentally ill citizens instead of giving other countries so much. Quit allowing politicians from being bribed(quite easy to find out)"
140261,We are being over taxed and the tax money is being spent in the wrong places. 
140263,Unity among the extremest ends of each political party- also national debt 
140264,The cost of living has become an apparent problem in this country. The inability to be able to afford a steady foothold in financial stability from homeownership. The inability to save for retirement in any meaningful way is a problem. 
140266,"It's not right what this man is prioritizing when he gets sworn in. Other countries don't fear him so much. We are seeing inflation from past tariffs and the sink hole he put us in financially.  I truly worry with Ramaswamy and Musk being in charge of what seems to me, dismantling our government as we know it. This country is in for a rude awakening with the wool all of these men just conned the people to believe they promise.  I truly worry about our freedom to vote again."
140267,"economy, higher prices for food, gas, automobiles, homes"
140268,OPEN BOARDERS WOULD HAVE TO BE THE FIRST ONE IN A LONG LIST
140269,Immigration and illegal immigration. 
140270,"Economy - too much free stuff given out.  Welfare, Medicaid, etc.  Prices continue to rise faster than the rate of social security.  Immigrants coming illegally and getting benefits from US even though they are not citizens.  Poor help for our veterans.  Too many rights for prisoners.  Long terms for sentors and representatives - need to have term limits.  "
140271,Descent into fascism
140273,income gaps there is a wealth gap that is disproportionate for people of color and women within many industries 
140274,the economy is terrible. inflation is too high
140275,"immigration, economy, women's rights"
140276,"The economy is the most (although immigration is a close second) important problem facing America. Everything is more way more expensive than it should be. In the past, renting an apartment was less expensive than buying a house. Now, rent and mortgage are both exorbitantly overpriced. This is only one example. It's ridiculous."
140277,We are looking for a political solution to a spiritual problem...GOoD vs (d)Evil.
140278,"cost of living. high food prices, overall everything is more expensive than it was 4 years ago"
140279,economy and racial division as well as plain ignorance when it comes to anything sensible many peoples view is based on emotion
140280,the incoming corrupt president & his cabinet
140281,corruption and the government helping the rich becoming more rich and powerful 
140282,"I'm worried when Trump takes office he is going to ruin us the people when he gets done punishing people he don't like, in the government. Which he has said his 1st. day. "
140283,"women's health, affordable childcare, gun control and safety, economy "
140285,SK
140286,immigration 
140287,high prices on living commodies
140288,"poverty, housing cost, cost of living, wages"
140289,c country is too divided 
140290,immigration - too many illegals and we need to control the borders
140291,"Terrible ongoing environmental degradation (causing both Biodiversity and Climate crises and social injustices especially to indigenous people, BIPOC, poor and other species.)"
140292,"wealth gap in the poor, middle class, and rich"
140293,Racism.  Poor Economy.
140294,Illegal immigration
140295,women's right to abortion
140296,I DO NOT THINK THAT THERE ARE MORE PROBLEMS FACING THIS COUNTRY. 
140297,Economy everything is getting to expensive
140298,Russia/Ukraine war will probably spill over into Europe and NATO
140299,Lack of family values
140300,illegal immigration
140301,Debt - inability to awknowledge and do anything to try and solve the problem of our debt.
140302,"Hatred, painting everyone of the same race, color, religion with the same brush"
140303,Raising cost of living
140304,I feel abortion is one of the most morally abhorrent things our civilization accepts
140305,"Climate change, Severe weather events related to climate changes are straining our emergency funds."
140306,threat to democracy 
140309,economy The high price of living and they cannot control big business house over it
140310,Failure to take care of all veterans 
140311,The expansion of executive power (the presidency)
140312,inflation creating financial hardships on families
140313,poverty 
140315,"illegal aliens 9 they follow no rules), crime, inflation (I'm on a fixed income)"
140316,"Obviously lack of education. Racism, misogyny and homophobia."
140317,"Illegal Immigration, Open Borders."
140319,"Greed, inhumanity, selfishness "
140320,Perversion of democracy by the president elect
140321,"security, secure our borders, the economy. democracy "
140322,Drugs-illegal; cost of prescriptions for seniors
140323,we need universal healthcare
140324,Corruption in all branches of federal government 
140325,Immigration is uncontrolled
140329,borders and immigrants
140330,"illegal Immigration-boarder patrol, "
140331," Immigration; too many people entered into the country illegally causing many other issues related to that; such as crimes, inflation, lower and/or stagnant wages, specially in the past 4 years. "
140332,"boarder issues lead to excessive spending, crime."
140334,"The rise of fascism/authoritarianism of the MAGA movement, political polarization and violence, corporate and dark money in politics, income inequality, the rich and corporations not paying their fair share of taxes"
140335,BORDER TOO MANY ILLEGALS COMING THRU
140336,Building the economy to benefit the middle and lower class.
140337,Social Security and Medicare funding
140339,"illegal immigration, inflation, government wasteful spending"
140340,"el empleo, el salario, la economÃ­a, la educaciÃ³n, servicios mÃ©dico.por mencionar algunos y fraudes como en servicios de alimentos de comida."
140341,i think the most important one at the moment is the economy. people cant even afford to go to the store any more. a loaf bread that use to cost $.79 now cost $2.19. So when they increase your food stamps by $2.00 whoohoo lets jump for joy. Did you know every time social security recipients who get food stamps get a cost of living raise get their foods cut so it actually ends up hurting them. If you get a $20.00 raise they take $25.00 away in food stamps. where is the benefit in that?
140343,lack of respect for other's opinions 
140345,gun violence in schools 
140347,China's imperialism
140348,HEALTH ISSUES  MEDICARE AND HEALTH CARE COSTS
140349,"being divided, some people feel very strongly about things and tend to cause unnecessary tension "
140350,Most people I know including myself are struggling financially so I would say economics is the main topic 
140351,"division gettin stronger, will be very bad in the next several years, monetary problem, probability of recession or worst , international problems, non quality people get position in the government . they will decide millions of people life. overall I'm scared for this country "
140352,Crisis in the process of governing the nation
140353,Immigration: Too many unvetted people in terms of safety and crime. Depleting tax payer money for resources and jobs
140354,political divide and lack of bipartisanship
140356,Tolerance of crime and criminals in larger communities
140357,Lack of Leadership
140359,In this order: Potential escalation of war - border security - human trafficking/drugs - housing costs
140360,"economy, foreign involvement, immigration, woman's rights "
140362,low wages and high energy bills
140363,"Foreign Policy, Finance Aids.  Racist, Politician Lying about Immigration.  Welfare and Health Care. Americans voted a criminal for President. "
140365,"Donald Trump, the MAGA movement, JD Vance, Elon Musk"
140366,Divisiveness and polarization / Preserving democracy / Holding elected officials to account / among others   
140367,Donald Trump and the Republican Party
140370,financial strain on families
140371,RACISM THERE ARE TOO MANY PEOPLE WHO ARE STILL PREJUDICE
140373,DIVISION - HATE -
140374,"economy, inflation"
140376,"inflation, immigration, foreign policy"
140377,Political polarization
140378,"hralthcare, immigration "
140379,poverty.   cost of living to high 
140381,"ignorance. ignorant people are easily bamboozled into believing any and every lie or stupid thing that comes down the pike, but they staunchly refuse to believe facts or truths."
140384,loss of democracy
140385,"lack of unity, religious intolerance,  corporate greed"
140386,"crime, too high"
140388,women's reproductive rights 
140389,I believe the most important problem that needs to be addressed is inflation.
140390,Social divide and racism 
140391,Division amoung our people is our greatest problem. 
140392,"open borders, allowing criminals and undesirables entry into our country with no vetting"
140396,Massive Number of Illegal Immigrants 
140398,"border, inflation, government spending, immigration "
140399,"Racism, sexism, bigotry, political divide, imbalance of power between the wealthy and poor, corrupt politicians"
140400,"Abortion, protecting same sex marriage, issues in other countries that serve as threats to our democracy, Islam/Palestine/Israeli war, Transgender rights and medical care access"
140401,Poverty because we have enough to do something about it but the big guys don't wanna do anything because they are rich and don't have to worry about it. 
140403,Inflation is a big issue
140404,Racial differences
140405,unregistered emigrants
140407,Accountability.  The False narratives being pushed.  Unwillingness to see past party lines and get down to the root to solve a problem.
140408,inflation is out of control 
140409,racism
140410,Economy 
140411,economy and the cost of living
140413,"Economy - it's so much more difficult to make ends meet these days. Food is over priced, I haven't gotten a raise in a couple of years and bills are piling up. Meanwhile cost of living is rising because of inflation and is the people who make the most contributions can't get any assistance because we make too much money. it's a vicious cycle. "
140414,"border open, economy, grocery prices, woke believe, the way Democrats are running the government (or not doing their job) immigration, migrants, crime...."
140415,debt we spend more than we have on hand. you can not keep spending more than you make and survive financially
140416,The practices  and leadership  of the incoming  President. 
140417,inflation and immigration 
140419,A lack of support for americans
140420,The economy is a big problem. the border needs revised
140421,everything the generation is lost and no good leaders to follow
140423,"The economy and inflation has increased, as well as the interest rates keep climbing, charges on credit card fees made on payment at restaurants."
140425,"The economy, prices of groceries, rent, bills, etc are out of control."
140426,"police, corrupt courts and judges. Why do  non violent, drug offenders get more time than child mollestors sexual and.otjer viokent crominals it.doesnt make sense."
140427,economy ( under Biden the cost of living is high and I do not like how he has handled it under his Presidency term) 
140428,"poverty Not a living wage or jobs that give pride or respect. Unaffordable housing, child care, education."
140429,"prices. Everything is just to expensive. living day to day is extremely hard. between paying bills, and buying groceries, it's near impossible. we either go hungry, or go without power/or other necessities."
140430,"The government is broken, they are not listening to the people they are suppose to govern."
140431,education and environment
140432,"abortion rights, Economy in that order"
140434,illegal immigrants 
140436,stopping Maga 
140437,Unelected Bureaucrats and Foreign Lobbyists 
140439,immigration - my money should not go to them 
140440,"rampant crime, National Debt "
140441,"economic rise, everything is just so expensive & job won't raise the pay"
140445,"The possible loss of our democracy, women's right to their bodies, the economic collapse if these tariffs are implemented, to list a few.  "
140446,idk idk idk
140447,This country's in deep troubles by the ways JB&KH handle.
140450,The inflation that has impacted the lives of many Americans and has sunk the Economy as a whole 
140451,Partisan politics
140452,Inability to have intelligent and informed discussions about contentious issues 
140454,"Racism, Homophobia, Attacks on women bodies as well as the medical community, a rapist, convicted felon and twice impeached man is about to be president, lack of general qualifications for people to hold public office, attacks on education. "
140455,Economy and insurance rates
140456,"The National Debt is atrocious.  Along with that, politicians have run rampant with ignoring rules and laws."
140457,dysfunctional politics leads to an inability to accomplish real foreign policy or counter climate change 
140460,the economy/jobs and China both econonmical and militarily
140461,the division created by the two major parties. 
140462,border security and foreign affairs
140463,"poverty, groceries are so expensive. I'm paying about 400 a week for a family of [REDACTED DETAILS]. "
140464,"INFLATION AND THE COST OF GROCERIES, HEALTHCARE AND HOUSING."
140465,Homelessness and wide disparity between the rich and poor.
140466,"inflation, open borders, national debt"
140467,Consumption and destruction of this country by the Wealthy and Military Industrial Complex.
140470,Trump's policies
140471,Immigration and Inflation 
140472,"economy is terrible. Including interest rates, food, gas, rent, automobiles. Everything really is out of control."
140474,project 2025 Donald Trump
140475,"Inflation, crime, open border, terrible foreign policy, division, corruption"
140476,Illegal immigration
140477,"illegals immigration, national security, economy"
140478,"Voting integrity, Illegal immigration, crime, prosecuting and incarcerating criminals, inflation, DEI, CRT, lawfare against a political opponent "
140479,Economy:  I work 2-3 jobs to make us for the cost of inflation on my family. 
140480,Border protection
140481,HOME LESS VETS AND HIGH PRICES FOR HOMES
140482,"incoming disaster president and cronies, the rise of fascism, corporate control of media, alternative facts, housing, education, inflation, women's healthcare"
140483,climate change is an immediate problem. Woth every rolling 10 year recent period being hotter than before it is very essential that every nation including leader like USA need to focus solely on this issue. 
140484,unbalanced economy
140485,"between the rich business people buying what and who they want, and the media (including social) just tells what they want you to know, doesnt even have to be true and boyh try hide behind "
140486,economy cost too much to live and wages are equal to cost increases 
140487,"global warming, eroding of democratic institutions "
140488,Women's health and reproductive rights
140491,Our country elected Donald Trump. Wealth gap. Cost of basic goods. Border security. Climate.
140492,high crime. High cost of living.  lack of affordable housing 
140493, border control and the economy
140494,"Money-  taxes, hate crimes, to much power for 1 person,  people who think they are above the law,  WAR.. WHY/??   our climate issues.  Yes its real."
140495,Goverment spending unbalanced budget
140496,project 2025 - too extreme and will strip fundamental rights from many.
140497,uncontrolled immigration
140498,"China, existential threat, we must go all out in every aspects to defeat them."
140500,Open borders are bringing in too many immigrants who are selling illegal drugs and too many rapes and murder
140501,"inflation, criminal activity, drugs everywhere with no control, social media."
140502,Boarder and economy
140503,Economy and women's rights
140504,"Economic disparity, world stand of usa, too much interfering in world affairs unfairly, education standard lowering and cost for future generation, health system in the hand of money mafia, news and media spreading lies, internet acting as spy in pocket of people"
140505,"Donald Trump, he is a fright, scary "
140506,high cost of living
140508,Economy
140509,illegal immigration
140510,Illegal immigration[CHAR(10)]Corruption in DC[CHAR(10)]Child Trafficking[CHAR(10)]
140511,The extreme ends of all parties seem to receive the attention and the purpose is division. 
140514,no checks and balances
140518,SK
140519,Poor Economy
140520,"homelessness, food crisis, abundant spending, attention on things that do not matter like fancy goods and social media pictures. "
140521,"economy, people in middle and lower classes are struggling to survive. I never see where they really help. s.s.get a small raise at least 1/2 goes to up price on med. insurance let the gov. pay that not people who are struggling to eat and pay bills."
140524,Abortion rights
140525,Economy is horribleâ€¦ not for all people 
140526,cost of living and reproductive rights 
140527,divisiveness and unwillingness of political parties to compromise for the good of the people
140528,national debt and govt spending
140529,"IMMIGRATION, THE WALL"
140530,The destruction of the middle class
140531,"economy, boarder security "
140532,border security
140533,I think women's rights is a real strong problem because I believe that everyone is entitled to their own body they can do as they please with their body no one should tell anyone else what they can and cannot do with there own body
140534,The threat of an authoritarian takeover of our Democracy
140535,the south border
140536,$35 trillion debt
140538,economy 
140539,Illegal immigration; economics
140540,Deep State Corruption
140541,cost of living is a huge problem.  People cant evenn live/afford anything anymore. just sad .
140542,"Lack of common sense. Maybe its poor education, or just people not educating themselves enough. A democratic system that really needs updating. Too many older people in congress. "
140543,wealth inequality and money in politics
140547,"Economy, immigration crisis, security, gender confusion"
140548,"Education, Healthcare, Green Energy, political/social divide."
140549,"Abortion/women's rights, lgbtq+ rights, the threat of fascism from the MAGA movement."
140550,"maga, white nationalists, misogyny,  income disparity,  housing disparity,  consolidated wealth of billionaires,  political supreme court with no ethics rules, power of insurance companies,  cost of Healthcare. "
140551,funding the migrants
140552,inflation and homelessness
140553,"authoritarianism, Project 2025"
140554,"Trump, National Security, Inflation, Jobs and wages, Fascism, Autocratic Government under Trump.  "
140555,distrust of one another
140557,"Cost of living , environment  , and roads ."
140558,The president elect.
140559,"Inflation, Loss of Manufacturing, Big Business having human rights, Wealth Gap Disparity, Greed"
140560,Identity Politics
140561,"inflation, Illegal immigration and Corruption"
140562,I believe personal liberties are under attack - that government is too interested in controlling rather than protecting the public. 
140563,homelessness lack of affordable housing
140564,Division between races
140565,president is an idiot
140567,"Strife - nobody can have a civil conversation about anything, let alone come to an agreement."
140568,economic issues
140570,inaccurate information being promoted 
140571,"Taking steps backward on women's rights and freedoms. (I feel women have sold their souls to decrease the price of eggs, housing etc., both important issues, but our country can't see the forest through the trees in my opinion. I have [REDACTED NUMBER] daughters and I am afraid for them.)"
140573,"borders, inflation "
140574,"imagration, inflation, hunger, heroin."
140575,Immigration-too many migrants getting away with crimes
140576,"boarder security, regulations "
140577,economy needs improvement 
140578,"economic growth, division of our country"
140580,Proliferation of disinformation and lies
140581,homelessness which was already a problem and with immigrationâ€¦we need to find a way for all the people to survive who need a place to live and provide jobs so they can fit in society 
140582,"the economy, inflation, and border."
140583,healthcare - costs too much
140585,That we have elected a leader who has bad intentions and bad behavior
140586,racism. It needs to be fair for all not one group
140587,economic maintaining the economy for retirees
140588,government overreach 
140590,Joe Biden has been trying to get us into a war with other countries
140591,trustâ€¦we don't really no what the truth is about issues and opinions.
140593,Trump and his Maga movement 
140594,no problem live threw this and see God return
140596,"Debt, Southern Border, energy problem, China buying our farm land"
140597,"In-fighting, Economy, Environmental Issues, Women's Reproductive Issues, Equality, Affordable Health Care, and Crime Prevention. "
140598,just now working 
140599,not following thru
140600,Criminals coming into the country illegally.
140601,The political culture in America that lead to the election of Trump including polarization and some kind of cult fascination driven by fear.
140602,THE HOUSE NEEDS FIXED UP FOR PEOPLE CAN HAVE TO Live in [REDACTED LOCATION]
140606,"health care - how unequal it is.  Laws protecting neglected and abused in child welfare; protects the parents, not the children. Legal system giving plea deals and justice not served. "
140607,Extremist Far-Right Media
140609,TRUMP and the incompetent people he is putting in the white house.  Our democracy
140611,U. S. Debt and the danger of dollar losing Reserve Currency status.
140612,Global Warming is already affecting climate in this country
140613,national debt.  if the financial system or value of money collapses nothing else will matter much.
140614,partisan politics 
140617,"Economy, racism, immigration and green house "
140618,Our President elect is a narcissist
140619,"The economy, not enough high paying jobs. "
140620,inflation and the economy 
140621,The goverment works for themselves and not for the people they repersent or voted them into office.
140622,"There a a TON of issues, but at the root of every issue this country is facing, there is 1 common denominator.  "
140623,People that dont have a place to go. Like the homeless people
140624,"Cost of goods- basic food right now is so expensive,  and their are reasons,  but nothing is being really done to help out the average person with these expenses "
140625,border security 
140627,Rise of authoritarianism
140629,Border Control/Illegal Immigration
140630,Social Media aimed at youths
140631,The incoming president. The repression away from progressive and inclusive thinking.
140632,inflation. price for everything has gone up.
140633,foreign relations
140634,"disinformation, housing costs, inflation, Trump "
140635,"Race-Red States on map indicate that there are a lot of White American who are Afraid that ""TRUTH"" will cause their GRIP on this Country to change.   """
140636,divisive rhetoric 
140637,[mmigration inflation
140639,Illegal immigration  
140641,too many immigrants
140643,The political system is undemocratic and corrupted - disaffecting so many other issues and people of America.
140644,drugs & corruption
140645,Illegal immigration
140646,The economy is challenging people at this time.
140648,maintaining democracy 
140649,"the boarder, the economy, and WWIII possibly "
140650,A weakened democracy
140653,"The economy- inflation,  high prices"
140654,cost of living 
140655,"economy, inflation. "
140656,SK
140657,"Our country's having been overrun by a horrendous number of illegal, violent, and dangerous immigrants. "
140658,drug cartel sex trafficking cost of living being energy dependent 
140660,"open border, criminals, Fentanyl drug"
140661,"economy - cost of living, jobs"
140662,"Poor economy, mainly inflation "
140663,Economic development
140666,Trump taking the presidency next year. He's dishonest yet trusted to hold one of the most power jobs in the country.
140667,Social Security
140668,illegal immigration
140669,Racism. Racists (white mostly) are getting more blatant with their racism. They think it's ok to be racist again and they are proud of it.
140672,Immigration by fixing the border
140673,"We now have a President who is taking us backward re Abortion, etc.  He is appointing people who will hurt our well being, such as JFK, Matz.  He is endangering this country and we are worried sick and devastated!"
140674,"Some of the most important problems facing our country are the Economy, Border issues and the divide being manufactured for divisive reasons by self serving politicians."
140675,open borders and the criminal element and child abduction going on.
140676,Trust in important institutions
140677,"finances, unnecessary division, hate against the police, unnecessary teachings to children "
140678,Citizen's United ruling
140679,Unity: The party's are not together and completely split but Trumps trying to get them to join together.
140680,global warming infrastructure war racism 
140682,"border. inflation,  division "
140683,"Immagration, Inflation,cost of living is way too high. Prescription drugs are way too high. Us older people have a hard time affording things."
140685,Disunity.  The country is paralyzed in making important decisions because of party politics - instead of looking for the best solutions most politicians look for what will keep them in power.
140686,Fear. Lies. Lack of a moral compass 
140688,"the boarder, economy and gas prices"
140689,"economy, food prices, gas prices, help for the elderly "
140690,reproductive rights
140692,The lack of community.
140694,inflation is too high for retirement age people 
140696,"immigration/border, inflation, crime, prices, potential WWIII"
140697,"Economy, immigration, and morals of leadership"
140698,"immigration, big businesses and wealth inequality "
140699,"economics, price gouging for one, gas & taxes on it"
140700,"gun control, inflation, health care "
140701,the economy 
140702,abortion ban and women's lack of a right to choose in some states
140703,Legalizing abortion 
140704,Illegal immigration
140706,inflation and rising house cost
140707,"I fell like women have been put back 100 years. Lack of trust in our government, local and federal"
140708,crime too many people not looking out for each other
140709,"There are so many issues, but the cost of living and inflation are definitely some of the top issues. I also think the rise of fascism is a very concerning and scary issue."
140712,Inflation- Everything is expensive 
140713,immigration and the related cost to taxpayers...also the continued involvement in foreign disagreements and the related cost to US taxpayers.
140715,exploitative capitalism
