respondent_id,response_text,human_code,human_code_label,notes,llm_code
142442,illegal immigration,6,Immigration,,Immigration
230567,"The rising cost of living, we are slaves to this economy. once i can afford healthcare and groceries ill worry about social issues again.",1,Economy,,Economy
223242,money problems ,1,Economy,,Economy
141710,economy and inflation,1,Economy,,Economy
235273,Spending of monies,1,Economy,,Other
142207,corrupt Congress members and a felonious president-elect,3,Politics/Democracy,,Politics/Democracy
142659,close border    stronger military   inflation    ,6,Immigration,multiple problems,Immigration
237697,economy and inflation ,1,Economy,,Economy
141393,forest Fire in LA,7,Environment,,Environment
345378,security- dont feel is as strong as we used to be to step up and protect our citizens,8,Foreign Policy,,Crime
384582,corrreuption-specifically campain fiance law and the the campaign fiance system,3,Politics/Democracy,,Politics/Democracy
140493, border control and the economy,6,Immigration,multiple problems,Immigration
216993,Non thinking people,10,Unclear,,Unclear
239454,"loss of our democracy, rich/poor devide, autocracy in the world",3,Politics/Democracy,multiple problems,Politics/Democracy
235980,"The border wall, they need to close the border. ",6,Immigration,,Immigration
203462,"1) illegal entry out of control, no rules, open border not good 2) inflation out of control for food and housing and renting  3) big business not paying share of taxes or controlling emissions",6,Immigration,multiple problems,Immigration
218414,Lack of affordable health care options,2,Healthcare,,Healthcare
141918,Political divisiveness,4,Social Issues,division,Social Issues
141750,lack of ethics and respect for humans,4,Social Issues,,Social Issues
215114,"People harassing, rioting, & protesting due to different political beliefs. Transgenders using wrong bathrooms. Joe Biden & Kamala Harris pissing off Foreign leaders.",4,Social Issues,multiple problems,Social Issues
231383,"illegal entry,  political enrichment of politicians, Supreme court forever appointments",6,Immigration,multiple problems,Immigration
141249,"women's rights, basic civic education, public education, political funding, misinformation",4,Social Issues,multiple problems,Social Issues
140565,president is an idiot,3,Politics/Democracy,,Politics/Democracy
233683,"immigration, high rent , high Mirra gage expensive groceries. ",1,Economy,multiple problems,Immigration
203698,unemployment people not working or finding jobs,1,Economy,,Economy
318543,"The what the people? immigrants, illegal immigrants. /AE/ They're illegal, no people works. They come here as illegal, that's why Trump wants to get rid of them and he's right. There are a lot of people that are illegal, especially California, they think they own California.  /AE/ No",6,Immigration,,Immigration
229618,cost of living with big corps setting prices up up up,1,Economy,,Economy
392171,"Housing projects. A lot of people don't have anywhere to live, standing on streets with signs. They don't want food. They want money. They don't have jobs and stuff. I declare.",1,Economy,,Economy
142072,return to trumpism will ruin our democracy,3,Politics/Democracy,,Politics/Democracy
227411,immigration and the need for maga to deport everyone ,6,Immigration,,Immigration
202846,"Money, people, and we are not all united as one like we should be. we are more divided. things have gotten out of control between truth/reality vs peoples opinions on a lot. ",4,Social Issues,division,Social Issues
394872,"The politcal division./p/Lack of working together, lack of compromise",3,Politics/Democracy,division,Politics/Democracy
217533,"communication, health insurance and social security",2,Healthcare,multiple problems,Healthcare
142392,"inflation, housing , taxes ",1,Economy,,Economy
212493,"racism, fascism, poverty, rising prices, hatred toward others",4,Social Issues,multiple problems,Social Issues
140796,"Gun Control, Women's rights to decide issues  of their own bodies, health care",4,Social Issues,multiple problems,Social Issues
319520,"the justice department, not holding people accountable who are crimnals, not holding Trump accountable",3,Politics/Democracy,,Politics/Democracy
383828,Climate change. The need to take effective actions. ,7,Environment,,Environment
141864,THE BORDER-ILLEGAL IMMIGRANTS,6,Immigration,,Immigration
319050,"Government spending. Is the cause and reason why we have inflation. Its also They shouldn't spend more money than they take in. Like we have to balance our check book, they should balane their check book as well. Sending money overseas needs to stop and end. We need to help our own citizens first. There needs to be a reduction in government employment and cutting our government spending.",3,Politics/Democracy,,Economy
230978,This country is way too divided with everyone blaming each other instead of taking responsibility for themselves. ,4,Social Issues,division,Social Issues
142103,Illegal immigration!  there's more,6,Immigration,,Immigration
237780,Divisive politics ,3,Politics/Democracy,,Politics/Democracy
209094,Medicare. Social Security,2,Healthcare,multiple problems,Healthcare
367650,"I think that the biggest problem is lack of diversity or DEI, diversity, equity and inclusion.  I just don't think that they should be taking away things that are still broken.  I think diversity, equity and inclusion was put in place for a reason and it hasn't been fixed so they shouldn't be getting rid of it. /AE/ No",4,Social Issues,,Social Issues
213690,healthcare cost,2,Healthcare,,Healthcare
141989,"Losing Women's rights, Women's Healthcare (abortion rights), Anger and Hate",2,Healthcare,multiple problems,Healthcare
216442,"The Border, inflation, Iran, Putin",6,Immigration,multiple problems,Immigration
395658,"The divisiveness in this country. It's very devisive right now. What we can do about it, I have no idea. Everyones so stuck in their political views. ",4,Social Issues,division,Social Issues
141727,woman's rights women should be able to make their own decisions ,4,Social Issues,,Social Issues
142118,everything its really a big ass mess,10,Unclear,,Unclear
142566,the the country is divided ,4,Social Issues,division,Social Issues
399815,"Unity. /ms/ People need to get their act together and have respect for each other. It's not business what religion you are, what geneder you are. As long as we treat each other with respectme nice.",4,Social Issues,division,Social Issues
140329,borders and immigrants,6,Immigration,,Immigration
141288,Immigration and the poor handling of those people once they are here..  Too many allowed with no plan for them. Very serious humanistic problem to solve.,6,Immigration,,Immigration
214249,middle class families and workers are not being looked after and supported,1,Economy,,Economy
142387,"Immigration, A communist President, Gun Rights, Freedom in all areas",6,Immigration,multiple problems,Immigration
142428,lack of integrity ,10,Unclear,,Politics/Democracy
141916,polarization - division in society,4,Social Issues,multiple problems,Social Issues
349491,The loss of respepct for human  life /TM/ whe i look at the news you see people are killed for no reason/TM/ people aren't disaplined and it starts with when they are a child /TM/ Many lack Chrsistian values which is also condusive to their behavior,4,Social Issues,multiple problems,Social Issues
217907,women's rights - abortion,4,Social Issues,multiple problems,Social Issues
203764,"economy, spending, govt control",1,Economy,multiple problems,Economy
140859,"Trump was never held accountable for his multitude of crimes, especially those against the nation.",3,Politics/Democracy,,Politics/Democracy
396227,"I guess the disparity in income of the very well-to-do and those that live paycheck to paycheck. It's just so difficult for them to save for retirement. And those who make a lot of money, it's easier to make more money. If you don't have much money it's hard to get to get a leg up. I don't know if it's a right or wrong question; it's just what I see as a disparity, which segueways into my second concern.",1,Economy,,Economy
229144,corporate big business...,9,Other,,Other
365679,"inflation, I used to be able to buy a 12pack of Dr Pepper I remmber being able to buy it for $3-$4, I thought it was crazy paying $3 for a bag of Doritos, a 12 pack of Dr. Pepper is now $9-$12 and a bag of Doritos is $6, and we're talking 10 years /AE/ I mean various other things but everything is more expensive but those are the two things I like to buy the most, but now I can't buy them as much, I have to eat real food yuck /AE/ No that'll be all",1,Economy,,Economy
227578,Inflation Immigration,1,Economy,,Economy
140279,economy and racial division as well as plain ignorance when it comes to anything sensible many peoples view is based on emotion,4,Social Issues,multiple problems,Economy
205158,Growing inflation and home prices ,1,Economy,,Economy
214986,big business running everything with their use of money (greed),3,Politics/Democracy,,Politics/Democracy
142417,"Racisim, Bigots, Christians, Hypocrites, GREED, CORPORATE AND INDIVIDUAL GREED. LACK OF EQUALITY, LACK OF EMPATHY!!! IGNORANCE AT LARGE",4,Social Issues,multiple problems,Social Issues
211947,political divide.   racial divide ,4,Social Issues,division,Social Issues
142593,SK,10,Unclear,,Unclear
141820,immigration and womens issues,6,Immigration,multiple problems,Immigration
140335,BORDER TOO MANY ILLEGALS COMING THRU,6,Immigration,,Immigration
141139,The health of the people is a huge issue. ,2,Healthcare,,Healthcare
141713,"I'm not good with terminology like my husband is but I'll explain in the best way I think. Our economy and the price of living, when it comes to food, homes, taxes, vehicles, everything has drastically gone up since Biden. I don't want to hear libs say it happened with Trump when his last year we had a world wide pandemic. racism is the worse it's ever been since back in the day. not all, but most black people believe we owe them something today because of how their ancestors were treated. The racial divide the media puts out there for them to hate white people and to act like they're so much better. government assistance. There is no incentive to work when Shanaynay from Baltimore has 4 kids and no job and can live on sections 8 and $1500 in food stamps a month using our tax dollars. ",1,Economy,multiple problems,Economy
331305,"Health benefits, Everybody should have them no matter what. Rich, poor or inbetween./AO/ I think everybody deserves them it. Doesn't matter if your rich or poor, middle class or in between. Everybody should have them. Whie black yellow whatever everbody and it should be equal. Not outragious prices that people cant afford. The rich can get them easily but not the poor same as the middle class./AO/ Because how people are being paid to work some people get $10 and hour and other get paid $20 an hour doing the same job. It should be equal pay so people can afford them same as if your a woman or a guy./AO/Pay wages suck and I dont agree with the government when they say other people can get them but we have to pay our butts off./AO/ No, I think everybody else should have them basically and it should be equal across the board./AO/ No",2,Healthcare,multiple problems,Healthcare
239089,"inflation, lack of jobs, education, and the two main political parties attempting (and succeeding) to divide the country. the main problem now is enduring another trump presidency ",3,Politics/Democracy,multiple problems,Economy
140942,"Abortion rights, everyone talks about the rights of the woman, but no one stands up for the rights of the unborn child, they ARE people too! And abortion is murder any way you slice it!!! The same goes for crime, all you hear about is the criminal what about the victims? And then they put them in prison for life so the people have to foot the bill, it should be let the punishment fit the crime!!! If its murder, life for life, send a message that bad criminal acts will not be tolerated!!!All they do is make more laws that the criminal don't okay in the first place and the rest of us lose our rights or privilege's because of them. ",5,Crime,multiple problems,Social Issues
140968,The country is divided and cannot agree on solutions to the problems we face.,4,Social Issues,division,Social Issues
202630,Divisiveness among people who disagree...Abortion Issue...Immigration...Economy,4,Social Issues,multiple problems,Social Issues
140371,RACISM THERE ARE TOO MANY PEOPLE WHO ARE STILL PREJUDICE,4,Social Issues,,Social Issues
217485,Drugs,5,Crime,,Crime
141382,I don't know there's no problem ,10,Unclear,,Unclear
141354,economy seems to be hurting - inflation is very high. it seems we still have a lot of people who do not want to work or can't find jobs since Covid. ,1,Economy,,Economy
140014,"lack of proper education, climate change, racism, etc. ",7,Environment,multiple problems,Environment
325214,I guess the economy. I think we still havent fully recovered from post pandemic inflation and big buisnesses can price gouge a lot of people so things become more expensive. ,1,Economy,,Economy
207813,Economic Stability ,1,Economy,,Economy
223224,na I'm Neutral,10,Unclear,,Unclear
142087, Financial disparity among various heritage groups in the United States. ,1,Economy,,Economy
202721,division and racism,4,Social Issues,,Social Issues
238431,illegal immigration public school education,6,Immigration,multiple problems,Immigration
230827,Overpopulation & illegal immigration ,6,Immigration,,Immigration
216687,"Economy, Inflation, Immigration, US aid to foreign land. Misuse of US fund to Medicaid, Missuse of US Fund to low income household.",3,Politics/Democracy,multiple problems,Economy
220142,The extreme division between the groups of people that can be roughly defined as residents of large metropolitan areas and suburban and rural areas with much os the issue arising from a lack of understanding of each other's perspective and a lack of a desire of understanding other views typically held by urban dwellers. ,4,Social Issues,division,Social Issues
140993,Partisan Politics - Divided communities based on political affiliations - Russia and China,3,Politics/Democracy,multiple problems,Politics/Democracy
141834,economy and taxes ,1,Economy,,Economy
211336,Democracy and unity,3,Politics/Democracy,,Politics/Democracy
142035,"immigration, economy, big government ",6,Immigration,multiple problems,Immigration
226274,Radical beliefs ,4,Social Issues,,Social Issues
140171,border inflation gas prices,1,Economy,multiple problems,Economy
211887,SK,10,Unclear,,Unclear
380791,"Immigration, They don't have any, they just let anybody in, ridiculous /AE/ No",6,Immigration,,Immigration
140253,progressive agenda ,10,Unclear,,Politics/Democracy
218444,Border security,6,Immigration,multiple problems,Immigration
358778,"Um, Probably violence /wt/ Uh, I just think theres a lot of gun violence, towards people ",5,Crime,,Crime
353983,People dont know how to communicate with each other and they dont engage in their respectful fashion and so it dosent helpo anyone one and cannot gain consesus if you are not willing to listen,4,Social Issues,division,Social Issues
142483,"inflation, illegal immigration, housing shortgage, job income disparity for women",1,Economy,multiple problems,Economy
389759,"Our inability to compromise, based on what we hear in the news media and what I hear from other people there is no middle ground. Everyone feels their position is the correct position and there is no room for compromise. AE Well, I think the loudest voices seem to get the most attention and that is part of the problem AE I seem to notice that if I go to one of the major networks FOX or MSNBC it is vilification of the pary that is not supported by that channel and there is no room for compromise AE",4,Social Issues,division,Politics/Democracy
220719,The government,3,Politics/Democracy,,Politics/Democracy
233416,Trump policies ,3,Politics/Democracy,,Politics/Democracy
140581,homelessness which was already a problem and with immigrationâ€¦we need to find a way for all the people to survive who need a place to live and provide jobs so they can fit in society ,4,Social Issues,,Social Issues
339331,"Uh, Inflation /probe/ well is extremelty high, been climbing last 4 years, total inflation since joe biden took office, is in the 30-35% average, they measure it differently for food or other things, no true measurement bar for inflation at the consumer level. Its year over year",1,Economy,,Economy
343223,"Immigration is my big thing, and I just don't agree with illegal immigration and how we're supporting that right now /ao/ no",6,Immigration,,Immigration
142137,ignorance about the implications of selfish actions,10,Unclear,,Other
223385,"Donald Trump as President-Elect and the choices he has made to fill positions on his staff, in his cabinet, and in other key positions.",3,Politics/Democracy,,Politics/Democracy
359280,Debt. We have a lot of debt and we continue spending without earning.,1,Economy,,Economy
140021,Handouts allowing people to stay at home and collect money when they could be working. ,1,Economy,,Economy
140411,economy and the cost of living,1,Economy,,Economy
214897,border security ,6,Immigration,,Immigration
142623,"Social Security, affordable housing, affordable higher education, healthcare",1,Economy,multiple problems,Economy
141769,problem is Trump,3,Politics/Democracy,,Politics/Democracy
234713,Conservative ideology and actions,3,Politics/Democracy,,Politics/Democracy
231962,the MAGA movement including the new Trump administration,3,Politics/Democracy,,Politics/Democracy
394391,I think that there is a lack of morality. It just seems like we have gone to the extreme of whatever they feel like. I am a strong christian and I feel that what they're allowing is more with their behaviors and lifestyles. /AE/ None,4,Social Issues,,Social Issues
141911,ILLEGAL IMIGRATION,6,Immigration,,Immigration
142354,racism eats at the character and politics of the country,4,Social Issues,,Social Issues
141747,Donald Trump as President,3,Politics/Democracy,,Politics/Democracy
140778,"The border, and inflation ",6,Immigration,,Immigration
141577,The enemy within/deep state,3,Politics/Democracy,,Politics/Democracy
388982,inflation/probe/everything cost way too much,1,Economy,,Economy
142356,"Every student who are US citizen coming from senior high schools or universities must get a job, instead of foreign MS students, whose countries education system is par below the USA education standard.  Most of these foreign students coming here (based on visa luck and showing fake bank account to US consultancy office) and doing master's and putting fake experience in their resume and grabbing the jobs, through consultancy agencies. Mostly these consultancy agencies are on salary commission bases and encouraging the foreign MS students to create the fake resume and through their hierarchy channel (consultancy friends) in that companies, they are helping this foreign MS students getting the jobs, which BADLY hurting the USA citizens jobs opportunities. THIS MUST be stopped immediately.   The people who running these consultancy agencies in USA, came from villages landlords or corrupt officers/politician/film industries, and mostly they are having religious background people and hurting the Chirstian minorities back in India (for example).  After getting the commissioned money from MS students, these consultancy agencies are doing real estate here in USA and increasing the home price and looting people here in USA.  They (consultancies) are helping by running parallel economy in USA to help corrupted politician back in India.   The best solution for this problem is 1.scrutinize the education background while giving visa. 2. NO off campus jobs (doing in consultancies motels/restaurants) 3. directly hire them through USA company with reasonable salary (where consultancy charging 10 time higher).  4. if these MS students are too good, provide green card to them without delay.   In this way, it will not hurt USA citizens jobs, mostly they complete their studies with bank loans, and they are able to repay that money if they have jobs in hand.   It only possible when US government set down fake consultancy business, in that way US government helping (1) the right-minded (knowledge) MS students for jobs and preventing them from slavery, (2) helping the innocent people not to fall in consultancy real estate fake business, and (3) back in India, helping the Christian minorities to practice their religious with freedom. (4) IRS will get tax money by prevent parallel running economy by this consultancy for corrupted politicians back in India. Here I taken India as example. The situation is more or less similar to every country particularly Asia, Africa and Latin Americas. ",6,Immigration,,Immigration
141085,"Economy. Border, Crime, Immigration,Government Spending ",6,Immigration,multiple problems,Economy
213387,Crime Abortion ,5,Crime,multiple problems,Crime
141907,1.political division 2. immigration 3.the economy,3,Politics/Democracy,multiple problems,Politics/Democracy
336854,DontKnow,10,Unclear,,Unclear
331714,"Healthcare /p/ too expensive, and health insurance companies are a legal scam. ",2,Healthcare,,Healthcare
223730,"Immigration.  Lack of control of the borders, the loss of migrant children, ",6,Immigration,,Immigration
238097,high inflation,1,Economy,,Economy
141829,border with the illegals coming in not properly don't know what more you want here ,6,Immigration,,Immigration
223771,inflation rise in prices on most everything..... health insurance to high to retire,1,Economy,,Economy
212872,economy police immigration ,1,Economy,,Economy
201457,Los altos precios de los alimentos y la rentas,1,Economy,,Economy
141780,"Border, Economy and deficit",1,Economy,multiple problems,Immigration
142195,The proto-fascist MAGA movement and the general apathy of the electorate.,3,Politics/Democracy,,Politics/Democracy
205914,"ILLEGAL IMMIGRATION, Inflation, defunding police, CRIME, Dual standard for criminals, lawfare, EPA overreach, FDA in bed with industry, chronic health issues, autism levels in America, ",6,Immigration,multiple problems,Immigration
141017,"Pay/salary, home purchase, grocery prices",1,Economy,,Economy
203408,high prices for food and housing,1,Economy,,Economy
141986,abortion rights,4,Social Issues,,Social Issues
142302,"Economy, Immigration / Border, Crime, Party divisivness, ",1,Economy,multiple problems,Economy
237638,THE DIVISION IN THE COUNTY,4,Social Issues,division,Social Issues
238056,MAGA movement and Trump ,3,Politics/Democracy,,Politics/Democracy
140937,Threat to our Democracy ,3,Politics/Democracy,,Politics/Democracy
140527,divisiveness and unwillingness of political parties to compromise for the good of the people,3,Politics/Democracy,division,Politics/Democracy
141967,imagration,6,Immigration,,Unclear
343863,"war they're spending a lot of money on the war /AE/ the main problem is they are spending the money to the war in another country the previous government has spend too much money in the war so they are not giving money to benefit the usa people, now the prices high and government is not giving sufficient benefit to the people /AE/ This is pretty much done",8,Foreign Policy,,Foreign Policy
359361,"afortable housing-they are not affotable only make big houses that cost $300,000 or $400,000.  Apartments are not affortable and they only make big houses available",1,Economy,,Economy
342842,Divisiveness / I think our country is too divided and we are fighting eachother instead of banding together and standing united. ,4,Social Issues,division,Social Issues
211923,Rising costs,1,Economy,,Economy
213725,immigration-illegaal aliens,6,Immigration,,Immigration
142093,The working class is overlooked in the eyes of government ,3,Politics/Democracy,,Politics/Democracy
140317,"Illegal Immigration, Open Borders.",6,Immigration,,Immigration
240106,political divides,4,Social Issues,division,Social Issues
141386,Economy and border control,1,Economy,multiple problems,Economy
397466,No one can agree with each other on anything,4,Social Issues,division,Social Issues
200830,la emigraciÃ³n no hay soluciÃ³n alguna ,6,Immigration,,Immigration
210806,Our political parties are  is too concerned with their own needs and agendas rather than what is good for the country as a whole.  Rather than reaching compromise they have to have their own way or it's wrong. ,3,Politics/Democracy,,Politics/Democracy
142555,lack of accountability ,10,Unclear,,Politics/Democracy
208865,homelessness not taking care of our American people ,4,Social Issues,,Social Issues
141170,immigration policy,6,Immigration,,Immigration
330139,our economy/tm/the government out spends it budget. i have to stay on one. you have to stay on one. they should stay on one/ae/no,1,Economy,,Economy
208308,I think that the inflation that we have experienced the last couple years has been difficult for most people that I know.,1,Economy,,Economy
201151,economics problems,1,Economy,,Economy
214204,"immigration, The woke movement should be abolished",6,Immigration,multiple problems,Immigration
141456,"Economics. Financially, our country is in trouble. Too much money has been sent overseas while US citizens are struggling every day. Veterans are treated disgracefully, victims of natural disasters have been forgotten, etc.",1,Economy,,Economy
140969,closing the borders and inflation,6,Immigration,multiple problems,Immigration
324165,IMMAGRATION- ITS UNCONTROLLED,6,Immigration,,Immigration
140598,just now working ,10,Unclear,,Unclear
142045,Immigration as illegal with the criminal background are the trouble makers ,6,Immigration,,Immigration
142326,I believe we have far too much homelessness.  I myself do not receive enough money to even rent a home. My city is pushing the poor out. Greed has consumed this town in general. ,1,Economy,,Social Issues
140423,"The economy and inflation has increased, as well as the interest rates keep climbing, charges on credit card fees made on payment at restaurants.",1,Economy,,Economy
142126,violence,5,Crime,,Crime
141620,Right Wing Extremism and hatred towards minorities. ,4,Social Issues,,Social Issues
140861,(1) Project 2025 â€” a blueprint for moving the United States to fascism,3,Politics/Democracy,,Politics/Democracy
140058,"economy is bad, prices way to high for almost every essentials for families",1,Economy,,Economy
235754,xenophobia causing division and backlash against minorities ,4,Social Issues,,Social Issues
141160,unification of parties. Cost of living. Financial treatment of older persons by the Social Security Dept.,3,Politics/Democracy,multiple problems,Politics/Democracy
224929,Economy,1,Economy,,Economy
140460,the economy/jobs and China both econonmical and militarily,1,Economy,multiple problems,Economy
213649,"INFLATION, TYING ALL THE INTERNATIONAL COUNTRIES TOGETHER.  WE HAVE OUTSOURCED MANUFACTURING, AND JOBS. OUR ONLY INDUSRY IS SERVICE.  WE NEED MANUFACTURING WHICH PAYS A LIVING WAGE. OUR YOUNG PEOPLE ARE LOSING THIER WORK ETHIC",1,Economy,,Economy
320049,"Let's go with, the economy. /ms/ Inflation; my primary concern with the economy.",1,Economy,,Economy
361702,"Immigration /wt/ Open border /wt/, letting too many illegals in ",6,Immigration,,Immigration
140088,Tarriffs on imports/exports,1,Economy,,Economy
218829,Illegal Immigration,6,Immigration,,Immigration
141260,rising inflation ,1,Economy,,Economy
315330,"Economy, the money has costs have just gotten so high so hard especially for younger people starting out and middle class retirees",1,Economy,,Economy
140871,immigration of people crossing the border,6,Immigration,,Immigration
321655,DK,10,Unclear,,Unclear
201192,Stubborn unthinking partisanship which puts party before issues and solutions.,3,Politics/Democracy,,Politics/Democracy
141221,security and  stop putting a strane on the school system ,9,Other,,Other
328537,abortion /wp?/ the effect that it needs to be regulated and not left up to the woman to decide: too many rules,4,Social Issues,,Social Issues
371601,Poverty. Too many people are living in poverty. ,1,Economy,,Economy
141703,"Economy, Illegal Immigrants, Crime and Federal Govt is way too big.",1,Economy,multiple problems,Economy
141402,women's rights and lack of taxation for the rich. ,4,Social Issues,multiple problems,Social Issues
141470,"Overspending, Out of control budget, border control improvement, economy and cost of living is failing",1,Economy,multiple problems,Economy
140923,MAGA Movement[CHAR(10)]Crime[CHAR(10)]Climate Control,3,Politics/Democracy,multiple problems,Politics/Democracy
214026,"Keeping the democracy intact, job security and fair wages, healthy food, feeling secure ",3,Politics/Democracy,multiple problems,Politics/Democracy
201763,"immigration, people coming into our country while we pay for them to eat and pay them",6,Immigration,,Immigration
141665,cost of everything,1,Economy,,Economy
212504,The turning of America toward fascism. ,3,Politics/Democracy,,Politics/Democracy
358797,economic issues/tm/that big busuiness are primarly in control so it creates a further divide between classes,1,Economy,,Economy
236120,inflation. gun control ,1,Economy,multiple problems,Economy
140231,Corporate greed - A focus on profit and not consumers. Energy conservation. Wildlife conservation.,1,Economy,multiple problems,Economy
204046,economy and women's rights to choose,1,Economy,multiple problems,Economy
141568,poverty is number 1 !!!!!,1,Economy,,Economy
228226,Economy,1,Economy,,Economy
216413,"border patrol- letting unchecked people come into the country and unchecked people leave the country without proof of parenthood has allowed unlimited criminals into our country and has raised the rate of child trafficking by a tremendous amount. 300,000 children are missing ",6,Immigration,,Immigration
223806,"economy, illegal inmigration ",1,Economy,multiple problems,Economy
381884,"too much spending, to big of governements. congress and the seanate are doing too Much spending/ae/no",3,Politics/Democracy,,Politics/Democracy
235736,"Climate change is getting better, but if Trump takes office, it becomes horrific.",7,Environment,,Environment
142352,"Inflation, money in politics, immigration, partizan politics ",1,Economy,multiple problems,Economy
237524,"Illegal Immigration is bringing drugs, terrorists and violent crime to our nation at an exceedingly alarming rate and must be stopped.",6,Immigration,,Immigration
140470,Trump's policies,3,Politics/Democracy,,Politics/Democracy
217497,Israel's power within the US.,8,Foreign Policy,,Foreign Policy
221210,erosion of democracy ,3,Politics/Democracy,,Politics/Democracy
214832,OPEN boarders! ,6,Immigration,,Immigration
239905,DIFFERENT FOR DIFFERENT COLOR PEOPLE,4,Social Issues,,Social Issues
142546,"economy,  lack of unity,  government overreach,  health",1,Economy,multiple problems,Economy
140464,"INFLATION AND THE COST OF GROCERIES, HEALTHCARE AND HOUSING.",1,Economy,,Economy
216233,Illegals,6,Immigration,,Immigration
140886,crime to often ,5,Crime,,Crime
140771,Donald Trump tearing down democracy,3,Politics/Democracy,,Politics/Democracy
371197,"The economy but that is getting a lot better/probe/ prices at the grocery store, we used to buy coke for 4$ and now it is almost 7$, almost 50% higher. /ae/house prices i don't know how anyone can afford a house anymore/ae/ no",1,Economy,,Economy
141501,economy. it is difficult to get by. everything is too expensive to afford ,1,Economy,,Economy
