respondent_id,response_text,llm_code_label,confidence,raw_model_output
140026,"Disconnect between Ultra conservative"" lawmakers and the people they are supposed to represent""",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response criticizes lawmakers and their representation, which relates to government and political institutions, fitting the Politics/Democracy category.""
}
```"
140027,economy inflation is very high,Economy,High,"The response explicitly mentions 'economy' and 'inflation,' which falls under economic issues."
140028,economics and illegal immigration,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""Both economy and illegal immigration are mentioned, but economy is listed first and thus considered the most emphasized issue.""
}
```"
140029,"Threat to democracy, Climate change, Conflict in Ukraine/  Middle-east / Sudan / sub-saharan Africa",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response starts with 'Threat to democracy,' which is a direct criticism of political institutions, so Politics/Democracy is chosen as the most emphasized issue.""
}
```"
140030,"health insurance, social security and education",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Healthcare"",
  ""confidence"": ""Medium"",
  ""raw_model_output"": ""The response mentions 'health insurance' which falls under Healthcare; social security and education are not in the provided categories, so Healthcare is chosen as the most emphasized issue.""
}
```"
140032,prioritizing the existince of government over the welfare of humanity,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response criticizes government priorities without specifying a policy area, fitting the Politics/Democracy category.""
}
```"
140033,"With the re nomination of Pres. elect Trump, we, as a Republic, are veering towards an autocracy",Politics/Democracy,High,"The response criticizes the political direction of the country and references the nature of the republic and autocracy, which relates to political institutions and governance."
140034,illegal immigration and the economy,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Immigration"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""Both immigration and economy are mentioned, but immigration is mentioned first and is a specific issue, so it is coded as Immigration.""
}
```"
140035,"polarization, inability to compromise for the common good",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Social Issues"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions polarization and inability to compromise, which relate to social division and lack of social cohesion without explicit reference to political institutions.""
}
```"
140037,health issues so many people are living below the acceptable line of property value,Healthcare,Medium,"The response mentions 'health issues' as the main problem, which aligns with Healthcare. The phrase about 'living below the acceptable line of property value' is unclear but secondary, so Healthcare is chosen."
140038,far right ideology,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Social Issues"",
  ""confidence"": ""Medium"",
  ""raw_model_output"": ""The response references an ideological group linked to social division and cultural conflict, fitting Social Issues rather than a specific policy area.""
}
```"
140039,"A second Trump presidency coupled with control of the Senate, the House of Representatives and the Supreme Court.",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response focuses on political control of government branches, indicating issues related to government, leaders, and institutions, fitting Politics/Democracy.""
}
```"
140040,The southern border ,Immigration,High,"The response mentions 'the southern border,' which relates to immigration issues such as border control and illegal immigration."
140043,"inflation, cost of living",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions inflation and cost of living, which are economic issues.""
}
```"
140044,health care and meeting basic needs ,Healthcare,Medium,"The response explicitly mentions 'health care' which fits Healthcare; 'meeting basic needs' is vague but likely related to healthcare or social support, so Healthcare is the best fit."
140046,Inflation and high interest rates ,Economy,High,Inflation and high interest rates are economic issues related to prices and cost of living.
140048,as a country we are not taking the risk of global warming seriously enough.  we are not doing enough.,Environment,High,"The response explicitly mentions global warming and lack of action, which falls under Environment."
140049,"economy, inflation, weak school system, boundary security, and illegal immigrants ",Economy,High,"Multiple issues mentioned, but economy and inflation are listed first and emphasized; per rules, code the first most emphasized issue."
140050,The politicians repond to groups that support them strongly monitarily versus stragegically.,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response criticizes politicians' behavior and their responsiveness to certain groups, which relates to political institutions and governance, fitting the Politics/Democracy category.""
}
```"
140052,The country will soon be led by a want to be dictator with no sense of right or wrong.,Politics/Democracy,High,"The response criticizes leadership and implies authoritarianism, which relates to government and political institutions, fitting Politics/Democracy."
140053,not sure but there is a lot,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Unclear"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response is vague and does not specify any particular issue.""
}
```"
140054,No border control,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Immigration"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response 'No border control' directly relates to borders and immigration policy.""
}
```"
140055,"the gap between very wealthy and the poor is growing, losing sight of the middle class rapidly declining ",Economy,High,"The response focuses on economic inequality and the decline of the middle class, which are economic issues."
140056,competent leadership,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response criticizes leadership competence, which relates to government and political institutions, fitting the Politics/Democracy category.""
}
```"
140057,illegal miragrasion,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Immigration"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions 'illegal miragrasion' (interpreted as 'illegal migration'), which directly relates to immigration issues.""
}
```"
140058,"economy is bad, prices way to high for almost every essentials for families",Economy,High,"The response focuses on the economy, specifically mentioning prices and essentials, which relates to inflation and cost of living."
140060,division and extremists ,Social Issues,High,"The response mentions 'division and extremists,' which relates to social division and polarization without explicit reference to political institutions, fitting the Social Issues category."
140061,the Palestinian issue,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Foreign Policy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The Palestinian issue relates to international relations and conflicts abroad, fitting the Foreign Policy category.""
}
```"
140062,"Women's rights, bug business",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Social Issues"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions 'Women's rights,' which is a social issue related to equality and rights, and 'big business' which is less emphasized. The primary focus is on social rights.""
}
```"
140063,Immigration & Economy ,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Immigration"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""Both immigration and economy are mentioned, but immigration is listed first, so it is coded as Immigration per the decision rules.""
}
```"
140065,a convicted felon as president and the disregard for justice truth and integrity.,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response criticizes leadership and integrity in government without specifying a policy area, fitting the Politics/Democracy category.""
}
```"
140066,"Global warming, the loss of our checks and balances.",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Environment"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions 'Global warming' which directly relates to environmental issues; although 'loss of our checks and balances' refers to political concerns, the first and emphasized issue is environmental.""
}
```"
140067,Climate change ,Environment,High,"The response explicitly mentions 'Climate change,' which falls under Environment according to the definitions."
140070,conflict among parties,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Social Issues"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions 'conflict among parties' which suggests social division or polarization without explicit reference to political institutions, fitting the Social Issues category.""
}
```"
140072,,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Unclear"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response 'nan' is vague and uninterpretable, fitting the criteria for Unclear.""
}
```"
140073,World War 3 happening. ,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Foreign Policy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The mention of 'World War 3' relates to international conflict and national security abroad, fitting the Foreign Policy category.""
}
```"
140074,Housing healthcare,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Healthcare"",
  ""confidence"": ""Medium"",
  ""raw_model_output"": ""The response mentions 'healthcare' explicitly, which fits the Healthcare category; 'housing' is not a defined category and is less emphasized.""
}
```"
140076,tRUMP  HE WANTS TO BE King.He lies all the time. Likes dictators likje Putin ,Politics/Democracy,High,"The response criticizes a political leader's behavior, mentions lying and authoritarian tendencies, which relates to political institutions and leadership, fitting Politics/Democracy."
140077,The economy is weak.,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response explicitly mentions 'The economy,' indicating economic issues are the main concern.""
}
```"
140078,cost of living tooo high,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions 'cost of living,' which is an economic issue related to prices and expenses.""
}
```"
140079,the inability of the congress to work together ,Politics/Democracy,High,"The response criticizes the government institution (Congress) and its dysfunction, fitting the Politics/Democracy category."
140080,closing border ,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Immigration"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response 'closing border' directly relates to border control, which falls under Immigration.""
}
```"
140081,global warming ,Environment,High,"The response 'global warming' directly relates to climate change, which falls under the Environment category."
140082,Seniors Education Employment Housing ,Other,High,"The response mentions seniors, education, employment, and housing, which do not fit neatly into the defined categories; thus, coded as Other."
140083,10-14 yr old young females committing suicide at alarming rates,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Social Issues"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response highlights a social problem related to youth suicide, which fits under social issues rather than healthcare or other categories.""
}
```"
140084,"inflation, housing cost and medical insurance ",Economy,High,"Inflation and housing cost are economic issues; although medical insurance relates to healthcare, the first mentioned and emphasized issues are economic."
140085,"gun control, global warming",Crime,High,"The response mentions 'gun control' first, which relates to crime and public safety, followed by 'global warming' (environment). According to the rules, code the most emphasized or first issue."
140086,"Inflation, Wage gap, Movement to the far right, authoritarianism ",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions 'Inflation' and 'Wage gap' which are economic issues; although 'Movement to the far right, authoritarianism' relates to politics, the economic issues are mentioned first and are more concrete.""
}
```"
140087,i don't voice my opinion on politics or the state of the country.  it is what it is.,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Unclear"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response is vague and does not specify any problem, indicating lack of clear opinion or issue.""
}
```"
140088,Tarriffs on imports/exports,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""Tariffs directly affect trade costs, prices, and economic activity, which fall under economic issues.""
}
```"
140089,"The economy and inflation and the separation of wealthy from those in poverty. The rich are getting richer and the poor are getting poorer.""""",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response emphasizes economic issues such as inflation, wealth inequality, and poverty, which fall under the Economy category.""
}
```"
140090,"rising costs, unlivable wages",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions rising costs and unlivable wages, which are economic issues related to prices and wages.""
}
```"
140092,"trump, supreme court",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""Mentions of 'Trump' and 'Supreme Court' relate to political figures and institutions, indicating a political/democracy issue.""
}
```"
140093,"wide open border(no sovereignty), corruption, money wasted on climate change, DEI garbage unqualified appointments, woke brainwashed universities(U of M), Muslim terrorists on campus burning US flags, the national debt.",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response criticizes government corruption, sovereignty issues, and ideological conflicts related to institutions, which aligns with Politics/Democracy per rule 3.""
}
```"
140094,economy. prices have soared and families are hurting.,Economy,High,"The response explicitly mentions 'economy' and 'prices have soared,' which relates to inflation and cost of living, fitting the Economy category."
140095,"Division based on beliefs in propaganda,lies, alternative truths.",Social Issues,High,"The response highlights division based on beliefs and misinformation, indicating social division and polarization without explicit reference to political institutions."
140096,Trump in office,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response references a political figure, implying criticism or concern related to government or political leadership, fitting the Politics/Democracy category.""
}
```"
140097,Losing our democracy,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response explicitly mentions 'democracy,' indicating concerns about political institutions or governance.""
}
```"
140098,politics are an issue only during elections ,Politics/Democracy,High,"The response mentions politics specifically in the context of elections, which relates to political institutions and processes, fitting the Politics/Democracy category."
140101,Trump was elected president,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response references a political event (election of Trump) which relates to political leadership and democracy.""
}
```"
140102,"borders, being too woke, lack of religion ",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Immigration"",
  ""confidence"": ""Medium"",
  ""raw_model_output"": ""The response mentions 'borders' first, which relates to immigration; 'being too woke' and 'lack of religion' are social/cultural issues but less emphasized.""
}
```"
140103,"economy, foreign policy",Economy,High,"Both economy and foreign policy are mentioned, but economy is listed first and thus is the most emphasized issue according to the rules."
140105,cost of living and are safety and are rights,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""Medium"",
  ""raw_model_output"": ""The response mentions 'cost of living' first, which relates to economic issues; 'safety' and 'rights' are mentioned but less clearly emphasized.""
}
```"
140108,INEQUALITY AND THE VANISHING OF MIDDLE CLASS,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response highlights inequality and the vanishing middle class, which are economic issues related to economic inequality and economic status.""
}
```"
140110,over spent without control,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""Medium"",
  ""raw_model_output"": ""The phrase 'over spent without control' suggests financial mismanagement, which relates to economic issues such as government spending and budget control.""
}
```"
140112,"Boarder,  we need to stop all the people from coming in.",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Immigration"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions 'Boarder' and stopping people from coming in, which directly relates to immigration issues.""
}
```"
140113,SK,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Unclear"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response 'SK' is vague and uninterpretable, providing no information about any specific issue.""
}
```"
140114,immigration and economy ,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Immigration"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""Both immigration and economy are mentioned with equal emphasis; per rules, code the first issue mentioned, which is immigration.""
}
```"
140115,Health Insurance ,Healthcare,High,"The response specifically mentions 'Health Insurance,' which falls under Healthcare as per the definition including insurance and access."
140116,Illegal immigration,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Immigration"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response explicitly mentions 'Illegal immigration,' which directly relates to immigration issues.""
}
```"
140117,"The Disdain, murders, and constant hate for the LGBTQ+ Community.",Social Issues,High,"The response highlights hate and violence against the LGBTQ+ community, which relates to social division and discrimination, fitting Social Issues."
140119,"Border Secuity and its impact on crime, government spending, and restriction of resources to U. S. citizens.",Immigration,High,"The response emphasizes 'Border Security' first, which relates directly to immigration issues, despite mentioning crime and government spending later."
140120,social Security ,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""Social Security relates to economic issues such as retirement income and financial security, so it is coded under Economy.""
}
```"
140122,most the homeless they need more help . so many living on streets an these gas prices up an down good prices an take out is up too,Social Issues,High,"The response emphasizes homelessness and the need for help for people living on the streets, which relates to social issues. Although gas prices and food prices are mentioned, the primary focus is on homelessness."
140123,ECONOMIC DEPRESSION,Economy,High,"The response directly references an economic issue, 'ECONOMIC DEPRESSION,' which falls under the Economy category."
140124,"Cost of living, immigration, abortion",Economy,High,"Multiple issues mentioned; cost of living (an economic issue) is listed first, so Economy is chosen."
140125,US Border and Economy,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions 'Economy' and 'US Border'; since Economy is mentioned first and both are emphasized equally, code as Economy per rule 2.""
}
```"
140126,"Donald Trump as he is a dangerous narcissist and is going to cause a lot of suffering (deportation plans, no concern for the environment nor those in need, nor women's rights.",Politics/Democracy,High,"The response criticizes a political leader and his policies broadly, focusing on leadership and governance issues without specifying a single policy area, fitting the Politics/Democracy category."
140127,"immigration, injustice, abortion ",Immigration,High,Multiple issues mentioned; immigration is listed first and thus coded as the most emphasized issue.
140128,Threat to democracy,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response directly references a threat to democracy, which falls under criticism of political institutions and governance.""
}
```"
140129,Economy and foreign wars,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""Both economy and foreign wars are mentioned, but economy is listed first and thus given priority according to the rules.""
}
```"
140131,Government Spending/Structural Defecit,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response refers to government spending and structural deficit, which are economic issues related to fiscal policy and national debt.""
}
```"
140132,"Inequality, monetary division of society. rich versus poor. ",Economy,High,"The response focuses on inequality and monetary division, which relates to economic inequality, fitting the Economy category."
140134,"federal debt, unaffordable healthcare costs, fanatic nationalism ",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions 'federal debt' and 'unaffordable healthcare costs', with 'federal debt' (an economic issue) mentioned first and emphasized; 'fanatic nationalism' is less specific and not clearly linked to a category, so Economy is chosen based on the first emphasized issue.""
}
```"
140135,illegals- taking over housing and using false information to get things,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Immigration"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response focuses on 'illegals' and issues related to housing and false information, which aligns with immigration concerns.""
}
```"
140136,"Legal and illegal drugs are the cause of a great many of our social problems, yet politicians are afraid to do anything about it. ",Crime,High,"The response emphasizes drugs and their impact on social problems, which falls under Crime. Although politicians are mentioned, the main issue is drug-related crime."
140139,Inflation and violence ,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""Both inflation and violence are mentioned; inflation (an economic issue) is listed first, so Economy is chosen.""
}
```"
140140,"economy,cost of living,taxes,our government ",Economy,High,"The response emphasizes economy-related issues such as cost of living and taxes first, followed by a mention of government; per rules, code the most emphasized issue which is economy."
140141,Greed and Corruption at the expense of every day people,Politics/Democracy,High,"The response criticizes corruption and greed related to government or leaders, fitting the Politics/Democracy category."
140142,"Mental illness is highly on the rise, homelessness, immigration, democracy, and the economy.",Social Issues,High,"Multiple issues mentioned; mental illness and homelessness relate to social issues, immigration and democracy are also mentioned, but mental illness and homelessness are emphasized first and fit Social Issues best."
140143,government overspending & regulatory capture,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response criticizes government overspending and regulatory capture, which relates to government and institutional issues, fitting Politics/Democracy.""
}
```"
140144,"Misinformation/disinformation is allowing a radical conservative movement to control the government and increase inequality, attempt to create a Christian country where women are subjugated to the desires of men, and democracy is gutted. ",Politics/Democracy,High,"The response focuses on control of government, undermining democracy, and political movements, which aligns with Politics/Democracy despite mentioning inequality and social issues."
140145,We are too divide in this country right now.,Social Issues,High,"The response highlights division in the country, which relates to social division and lack of social cohesion, fitting the Social Issues category."
140146,threat to democracy,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response explicitly mentions a threat to democracy, which relates directly to political institutions and governance.""
}
```"
140147,"controlling the borders, establishing immigration system",Immigration,High,"The response explicitly mentions controlling borders and establishing an immigration system, which directly relates to immigration issues."
140149,The deficit continues to grow with no concrete plans to get it under control,Economy,High,"The response focuses on the deficit, which relates to economic issues such as government debt and fiscal policy."
140150,cost of living,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""Cost of living is directly related to economic issues such as prices and inflation.""
}
```"
140151,there are several. But the biggest is immigration.,Immigration,High,The response explicitly states that the biggest problem is immigration.
140152,Woman's right to choose,Healthcare,High,"The response refers to 'Woman's right to choose,' which relates to abortion rights, a healthcare issue."
140155,the most important problem facing this country is inflation and taxes.,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response explicitly mentions inflation and taxes, which are economic issues.""
}
```"
140156,"inflation and economy, wasteful spending",Economy,High,"The response mentions 'inflation and economy' first, which are economic issues, and 'wasteful spending' is related but less emphasized. Economy is the primary focus."
140157,abortion laws they should let women make there own choices,Healthcare,High,"The response specifically mentions abortion laws, which falls under healthcare issues according to the guidelines."
140158,"Cost of living, cost of groceries, ability to access medical care, ability to buy a home, cost of gas,lack of adequate public transportation, poor salary increases.",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response emphasizes cost of living, groceries, salary, and housing affordability, all economic issues, despite mentioning access to medical care, the primary focus is economic.""
}
```"
140159,Wealth Inequality,Economy,High,"Wealth inequality is a form of economic inequality, which falls under the Economy category."
140160,"Inflation, crime, immigration, ",Economy,High,"Multiple issues mentioned, but inflation (an economic issue) is listed first, so Economy is chosen."
